date,price
2022-02-23,111.81
2022-02-24,111.79
2022-02-25,111.84
2022-02-26,111.82
2022-02-27,111.87
2022-02-28,111.85
2022-03-01,111.90
2022-03-02,111.88
2022-03-03,111.93
2022-03-04,111.91
2022-03-05,111.96
2022-03-06,111.94
2022-03-07,111.99
2022-03-08,111.97
2022-03-09,112.02
2022-03-10,112.00
2022-03-11,112.05
2022-03-12,112.03
2022-03-13,112.08
2022-03-14,112.06
2022-03-15,112.11
2022-03-16,112.09
2022-03-17,112.14
2022-03-18,112.12
2022-03-19,112.17
2022-03-20,112.15
2022-03-21,112.20
2022-03-22,112.18
2022-03-23,112.23
2022-03-24,112.21
2022-03-25,112.26
2022-03-26,112.24
2022-03-27,112.29
2022-03-28,112.27
2022-03-29,112.32
2022-03-30,112.30
2022-03-31,112.35
2022-04-01,112.33
2022-04-02,112.38
2022-04-03,112.36
2022-04-04,112.41
2022-04-05,112.39
2022-04-06,112.44
2022-04-07,112.42
2022-04-08,112.47
2022-04-09,112.45
2022-04-10,112.50
2022-04-11,112.48
2022-04-12,112.53
2022-04-13,112.51
2022-04-14,112.56
2022-04-15,112.54
2022-04-16,112.59
2022-04-17,112.57
2022-04-18,112.62
2022-04-19,112.60
2022-04-20,112.65
2022-04-21,112.63
2022-04-22,112.68
2022-04-23,112.66
2022-04-24,112.71
2022-04-25,112.69
2022-04-26,112.74
2022-04-27,112.72
2022-04-28,112.77
2022-04-29,112.75
2022-04-30,112.80
2022-05-01,112.78
2022-05-02,112.83
2022-05-03,112.81
2022-05-04,112.86
2022-05-05,112.84
2022-05-06,112.89
2022-05-07,112.87
2022-05-08,112.92
2022-05-09,112.90
2022-05-10,112.95
2022-05-11,112.93
2022-05-12,112.98
2022-05-13,112.96
2022-05-14,113.01
2022-05-15,112.99
2022-05-16,113.04
2022-05-17,113.02
2022-05-18,113.07
2022-05-19,113.05
2022-05-20,113.10
2022-05-21,113.08
2022-05-22,113.13
2022-05-23,113.11
2022-05-24,113.16
2022-05-25,113.14
2022-05-26,113.19
2022-05-27,113.17
2022-05-28,113.22
2022-05-29,113.20
2022-05-30,113.25
2022-05-31,113.23
2022-06-01,113.28
2022-06-02,113.26
2022-06-03,113.31
2022-06-04,113.29
2022-06-05,113.34
2022-06-06,113.32
2022-06-07,113.37
2022-06-08,113.35
2022-06-09,113.40
2022-06-10,113.38
2022-06-11,113.43
2022-06-12,113.41
2022-06-13,113.46
2022-06-14,113.44
2022-06-15,113.49
2022-06-16,113.47
2022-06-17,113.52
2022-06-18,113.50
2022-06-19,113.55
2022-06-20,113.53
2022-06-21,113.58
2022-06-22,113.56
2022-06-23,113.61
2022-06-24,113.59
2022-06-25,113.64
2022-06-26,113.62
2022-06-27,113.67
2022-06-28,113.65
2022-06-29,113.70
2022-06-30,113.68
2022-07-01,113.73
2022-07-02,113.71
2022-07-03,113.76
2022-07-04,113.74
2022-07-05,113.79
2022-07-06,113.77
2022-07-07,113.82
2022-07-08,113.80
2022-07-09,113.85
2022-07-10,113.83
2022-07-11,113.88
2022-07-12,113.86
2022-07-13,113.91
2022-07-14,113.89
2022-07-15,113.94
2022-07-16,113.92
2022-07-17,113.97
2022-07-18,113.95
2022-07-19,114.00
2022-07-20,113.98
2022-07-21,114.03
2022-07-22,114.01
2022-07-23,114.06
2022-07-24,114.04
2022-07-25,114.09
2022-07-26,114.07
2022-07-27,114.12
2022-07-28,114.10
2022-07-29,114.15
2022-07-30,114.13
2022-07-31,114.18
2022-08-01,114.16
2022-08-02,114.21
2022-08-03,114.19
2022-08-04,114.24
2022-08-05,114.22
2022-08-06,114.27
2022-08-07,114.25
2022-08-08,114.30
2022-08-09,114.28
2022-08-10,114.33
2022-08-11,114.31
2022-08-12,114.36
2022-08-13,114.34
2022-08-14,114.39
2022-08-15,114.37
2022-08-16,114.42
2022-08-17,114.40
2022-08-18,114.45
2022-08-19,114.43
2022-08-20,114.48
2022-08-21,114.46
2022-08-22,114.51
2022-08-23,114.49
2022-08-24,114.54
2022-08-25,114.52
2022-08-26,114.57
2022-08-27,114.55
2022-08-28,114.60
2022-08-29,114.58
2022-08-30,114.63
2022-08-31,114.61
2022-09-01,114.66
2022-09-02,114.64
2022-09-03,114.69
2022-09-04,114.67
2022-09-05,114.72
2022-09-06,114.70
2022-09-07,114.75
2022-09-08,114.73
2022-09-09,114.78
2022-09-10,114.76
2022-09-11,114.81
2022-09-12,114.79
2022-09-13,114.84
2022-09-14,114.82
2022-09-15,114.87
2022-09-16,114.85
2022-09-17,114.90
2022-09-18,114.88
2022-09-19,114.93
2022-09-20,114.91
2022-09-21,114.96
2022-09-22,114.94
2022-09-23,114.99
2022-09-24,114.97
2022-09-25,115.02
2022-09-26,115.00
2022-09-27,115.05
2022-09-28,115.03
2022-09-29,115.08
2022-09-30,115.06
2022-10-01,115.11
2022-10-02,115.09
2022-10-03,115.14
2022-10-04,115.12
2022-10-05,115.17
2022-10-06,115.15
2022-10-07,115.20
2022-10-08,115.18
2022-10-09,115.23
2022-10-10,115.21
2022-10-11,115.26
2022-10-12,115.24
2022-10-13,115.29
2022-10-14,115.27
2022-10-15,115.32
2022-10-16,115.30
2022-10-17,115.35
2022-10-18,115.33
2022-10-19,115.38
2022-10-20,115.36
2022-10-21,115.41
2022-10-22,115.39
2022-10-23,115.44
2022-10-24,115.42
2022-10-25,115.47
2022-10-26,115.45
2022-10-27,115.50
2022-10-28,115.48
2022-10-29,115.53
2022-10-30,115.51
2022-10-31,115.56
2022-11-01,115.54
2022-11-02,115.59
2022-11-03,115.57
2022-11-04,115.62
2022-11-05,115.60
2022-11-06,115.65
2022-11-07,115.63
2022-11-08,115.68
2022-11-09,115.66
2022-11-10,115.71
2022-11-11,115.69
2022-11-12,115.74
2022-11-13,115.72
2022-11-14,115.77
2022-11-15,115.75
2022-11-16,115.80
2022-11-17,115.78
2022-11-18,115.83
2022-11-19,115.81
2022-11-20,115.86
2022-11-21,115.84
2022-11-22,115.89
2022-11-23,115.87
2022-11-24,115.92
2022-11-25,115.90
2022-11-26,115.95
2022-11-27,115.93
2022-11-28,115.98
2022-11-29,115.96
2022-11-30,116.01
2022-12-01,115.99
2022-12-02,116.04
2022-12-03,116.02
2022-12-04,116.07
2022-12-05,116.05
2022-12-06,116.10
2022-12-07,116.08
2022-12-08,116.13
2022-12-09,116.11
2022-12-10,116.16
2022-12-11,116.14
2022-12-12,116.19
2022-12-13,116.17
2022-12-14,116.22
2022-12-15,116.20
2022-12-16,116.25
2022-12-17,116.23
2022-12-18,116.28
2022-12-19,116.26
2022-12-20,116.31
2022-12-21,116.29
2022-12-22,116.34
2022-12-23,116.32
2022-12-24,116.37
2022-12-25,116.35
2022-12-26,116.40
2022-12-27,116.38
2022-12-28,116.43
2022-12-29,116.41
2022-12-30,116.46
2022-12-31,116.44
2023-01-01,116.49
2023-01-02,116.47
2023-01-03,116.52
2023-01-04,116.50
2023-01-05,116.55
2023-01-06,116.53
2023-01-07,116.58
2023-01-08,116.56
2023-01-09,116.61
2023-01-10,116.59
2023-01-11,116.64
2023-01-12,116.62
2023-01-13,116.67
2023-01-14,116.65
2023-01-15,116.70
2023-01-16,116.68
2023-01-17,116.73
2023-01-18,116.71
2023-01-19,116.76
2023-01-20,116.74
2023-01-21,116.79
2023-01-22,116.77
2023-01-23,116.82
2023-01-24,116.80
2023-01-25,116.85
2023-01-26,116.83
2023-01-27,116.88
2023-01-28,116.86
2023-01-29,116.91
2023-01-30,116.89
2023-01-31,116.94
2023-02-01,116.92
2023-02-02,116.97
2023-02-03,116.95
2023-02-04,117.00
2023-02-05,116.98
2023-02-06,117.03
2023-02-07,117.01
2023-02-08,117.06
2023-02-09,117.04
2023-02-10,117.09
2023-02-11,117.07
2023-02-12,117.12
2023-02-13,117.10
2023-02-14,117.15
2023-02-15,117.13
2023-02-16,117.18
2023-02-17,117.16
2023-02-18,117.21
2023-02-19,117.19
2023-02-20,117.24
2023-02-21,117.22
2023-02-22,117.27
2023-02-23,117.25
2023-02-24,117.30
2023-02-25,117.28
2023-02-26,117.33
2023-02-27,117.31
2023-02-28,117.36
2023-03-01,117.34
2023-03-02,117.39
2023-03-03,117.37
2023-03-04,117.42
2023-03-05,117.40
2023-03-06,117.45
2023-03-07,117.43
2023-03-08,117.48
2023-03-09,117.46
2023-03-10,117.51
2023-03-11,117.49
2023-03-12,117.54
2023-03-13,117.52
2023-03-14,117.57
2023-03-15,117.55
2023-03-16,117.60
2023-03-17,117.58
2023-03-18,117.63
2023-03-19,117.61
2023-03-20,117.66
2023-03-21,117.64
2023-03-22,117.69
2023-03-23,117.67
2023-03-24,117.72
2023-03-25,117.70
2023-03-26,117.75
2023-03-27,117.73
2023-03-28,117.78
2023-03-29,117.76
2023-03-30,117.81
2023-03-31,117.79
2023-04-01,117.84
2023-04-02,117.82
2023-04-03,117.87
2023-04-04,117.85
2023-04-05,117.90
2023-04-06,117.88
2023-04-07,117.93
2023-04-08,117.91
2023-04-09,117.96
2023-04-10,117.94
2023-04-11,117.99
2023-04-12,117.97
2023-04-13,118.02
2023-04-14,118.00
2023-04-15,118.05
2023-04-16,118.03
2023-04-17,118.08
2023-04-18,118.06
2023-04-19,118.11
2023-04-20,118.09
2023-04-21,118.14
2023-04-22,118.12
2023-04-23,118.17
2023-04-24,118.15
2023-04-25,118.20
2023-04-26,118.18
2023-04-27,118.23
2023-04-28,118.21
2023-04-29,118.26
2023-04-30,118.24
2023-05-01,118.29
2023-05-02,118.27
2023-05-03,118.32
2023-05-04,118.30
2023-05-05,118.35
2023-05-06,118.33
2023-05-07,118.38
2023-05-08,118.36
2023-05-09,118.41
2023-05-10,118.39
2023-05-11,118.44
2023-05-12,118.42
2023-05-13,118.47
2023-05-14,118.45
2023-05-15,118.50
2023-05-16,118.48
2023-05-17,118.53
2023-05-18,118.51
2023-05-19,118.56
2023-05-20,118.54
2023-05-21,118.59
2023-05-22,118.57
2023-05-23,118.62
2023-05-24,118.60
2023-05-25,118.65
2023-05-26,118.63
2023-05-27,118.68
2023-05-28,118.66
2023-05-29,118.71
2023-05-30,118.69
2023-05-31,118.74
2023-06-01,118.72
2023-06-02,118.77
2023-06-03,118.75
2023-06-04,118.80
2023-06-05,118.78
2023-06-06,118.83
2023-06-07,118.81
2023-06-08,118.86
2023-06-09,118.84
2023-06-10,118.89
2023-06-11,118.87
2023-06-12,118.92
2023-06-13,118.90
2023-06-14,118.95
2023-06-15,118.93
2023-06-16,118.98
2023-06-17,118.96
2023-06-18,119.01
2023-06-19,118.99
2023-06-20,119.04
2023-06-21,119.02
2023-06-22,119.07
2023-06-23,119.05
2023-06-24,119.10
2023-06-25,119.08
